class_name,topic,word,meaning,romaji,ex,trans,image_url
n5_adj_itai,tinhtu_i,痛い,đau,itai,お腹が痛い。,Đau bụng.,https://source.unsplash.com/featured/400x400?pain
n5_adj_kanashii,tinhtu_i,悲しい,buồn,kanashii,悲しい映画。,Bộ phim buồn.,https://source.unsplash.com/featured/400x400?sad
n5_adj_karai,tinhtu_i,辛い,cay,karai,カレーは辛い。,Cà ri cay.,https://source.unsplash.com/featured/400x400?spicy
n5_adj_karui,tinhtu_i,軽い,nhẹ,karui,軽いカバン。,Cái túi nhẹ.,https://source.unsplash.com/featured/400x400?light
n5_adj_kibishii,tinhtu_i,厳しい,nghiêm khắc,kibishii,厳しい父。,Người bố nghiêm khắc.,https://source.unsplash.com/featured/400x400?strict
n5_adj_kurai,tinhtu_i,暗い,tối,kurai,暗い道。,Con đường tối.,https://source.unsplash.com/featured/400x400?dark
n5_adj_marui,tinhtu_i,丸い,tròn,marui,丸いテーブル。,Cái bàn tròn.,https://source.unsplash.com/featured/400x400?round
n5_adj_mazui,tinhtu_i,まずい,dở/không ngon,mazui,このスープはまずい。,Súp này dở quá.,https://source.unsplash.com/featured/400x400?bad+taste
n5_adj_mijikai,tinhtu,短い,ngắn,mijikai,髪が短い。,Tóc ngắn.,https://source.unsplash.com/featured/400x400?short
n5_adj_muzukashii,tinhtu,難しい,khó,muzukashii,試験は難しい。,Kỳ thi khó.,https://source.unsplash.com/featured/400x400?difficult
n5_adj_nagai,tinhtu,長い,dài,nagai,足が長い。,Chân dài.,https://source.unsplash.com/featured/400x400?long
n5_adj_nemui,tinhtu_i,眠い,buồn ngủ,nemui,とても眠い。,Rất buồn ngủ.,https://source.unsplash.com/featured/400x400?sleepy
n5_adj_nigai,tinhtu_i,苦い,đắng,nigai,薬は苦い。,Thuốc đắng.,https://source.unsplash.com/featured/400x400?bitter
n5_adj_omoi,tinhtu_i,重い,nặng,omoi,この荷物は重い。,Hành lý này nặng.,https://source.unsplash.com/featured/400x400?heavy
n5_adj_omoshiroi,tinhtu,面白い,thú vị,omoshiroi,面白い本。,Cuốn sách thú vị.,https://source.unsplash.com/featured/400x400?interesting
n5_adj_ookii,tinhtu,大きい,to lớn,ookii,大きい家。,Ngôi nhà lớn.,https://source.unsplash.com/featured/400x400?big
n5_adj_sabishii,tinhtu_i,寂しい,cô đơn,sabishii,寂しい気持ち。,Cảm giác cô đơn.,https://source.unsplash.com/featured/400x400?lonely
n5_adj_samui,tinhtu,寒い,lạnh (thời tiết),samui,冬は寒い。,Mùa đông lạnh.,https://source.unsplash.com/featured/400x400?cold+weather
n5_adj_semai,tinhtu_i,狭い,hẹp,semai,狭い道。,Con đường hẹp.,https://source.unsplash.com/featured/400x400?narrow
n5_adj_suzushii,tinhtu_i,涼しい,mát mẻ,suzushii,秋は涼しい。,Mùa thu mát mẻ.,https://source.unsplash.com/featured/400x400?cool
n5_adj_suppai,tinhtu_i,酸っぱい,chua,suppai,レモンは酸っぱい。,Chanh chua.,https://source.unsplash.com/featured/400x400?sour
n5_adj_takai,tinhtu,高い,cao/đắt,takai,背が高い。,Dáng cao.,https://source.unsplash.com/featured/400x400?high+expensive
n5_adj_tanoshii,tinhtu_i,楽しい,vui vẻ,tanoshii,旅行は楽しい。,Đi du lịch rất vui.,https://source.unsplash.com/featured/400x400?happy
n5_adj_tsumetai,tinhtu,冷たい,lạnh (cảm giác),tsumetai,冷たい水。,Nước lạnh.,https://source.unsplash.com/featured/400x400?cold
n5_adj_tsuyoi,tinhtu_i,強い,mạnh,tsuyoi,風が強い。,Gió mạnh.,https://source.unsplash.com/featured/400x400?strong
n5_adj_ureshii,tinhtu_i,嬉しい,vui mừng,ureshii,とても嬉しいです。,Tôi rất vui.,https://source.unsplash.com/featured/400x400?joyful
n5_adj_wakai,tinhtu_i,若い,trẻ,wakai,若い人。,Người trẻ.,https://source.unsplash.com/featured/400x400?young
n5_adj_warui,tinhtu,悪い,xấu/tệ,warui,気分が悪い。,Cảm thấy không khỏe.,https://source.unsplash.com/featured/400x400?bad
n5_adj_yasashii,tinhtu,易しい,dễ,yasashii,易しい問題。,Vấn đề dễ.,https://source.unsplash.com/featured/400x400?easy
n5_adj_yasashii,tinhtu_i,優しい,hiền lành/tốt bụng,yasashii,優しい先生。,Giáo viên hiền lành.,https://source.unsplash.com/featured/400x400?kind
n5_adj_yowai,tinhtu_i,弱い,yếu,yowai,体が弱い。,Cơ thể yếu.,https://source.unsplash.com/featured/400x400?weak
n5_adj_ii,tinhtu,いい,tốt,ii,天気がいい。,Thời tiết tốt.,https://source.unsplash.com/featured/400x400?good
n5_adj_benri,tinhtu,便利な,tiện lợi,benri,便利な道具。,Dụng cụ tiện lợi.,https://source.unsplash.com/featured/400x400?convenient
n5_adj_jouzu,tinhtu_na,上手,giỏi,jouzu,歌が上手ですね。,Bạn hát giỏi nhỉ.,https://source.unsplash.com/featured/400x400?skillful
n5_adj_heta,tinhtu_na,下手,kém/dở,heta,テニスが下手だ。,Tôi chơi tennis dở.,https://source.unsplash.com/featured/400x400?poor
n5_adj_hima,tinhtu,暇な,rảnh rỗi,hima,明日は暇だ。,Mai tôi rảnh.,https://source.unsplash.com/featured/400x400?free
n5_adj_jiyuu,tinhtu_na,自由,tự do,jiyuu,自由な時間。,Thời gian tự do.,https://source.unsplash.com/featured/400x400?free
n5_adj_kirei,tinhtu,綺麗な,đẹp/sạch,kirei,綺麗な花。,Bông hoa đẹp.,https://source.unsplash.com/featured/400x400?beautiful+clean
n5_adj_kirai,tinhtu_na,嫌い,ghét,kirai,肉が嫌いだ。,Tôi ghét thịt.,https://source.unsplash.com/featured/400x400?hate
n5_adj_nigiyaka,tinhtu,賑やかな,náo nhiệt,nigiyaka,賑やかな通り。,Con phố náo nhiệt.,https://source.unsplash.com/featured/400x400?lively
n5_adj_shinsetsu,tinhtu_na,親切,tử tế,shinsetsu,親切な人。,Người tử tế.,https://source.unsplash.com/featured/400x400?kind
n5_adj_shizuka,tinhtu,静かな,yên tĩnh,shizuka,静かな町。,Thị trấn yên tĩnh.,https://source.unsplash.com/featured/400x400?quiet
n5_adj_suki,tinhtu_na,好き,thích,suki,りんごが好きだ。,Tôi thích táo.,https://source.unsplash.com/featured/400x400?like
n5_adj_taihen,tinhtu_na,大変,vất vả,taihen,仕事は大変だ。,Công việc vất vả.,https://source.unsplash.com/featured/400x400?hard
n5_adj_teinei,tinhtu_na,丁寧,lịch sự,teinei,丁寧な言葉。,Lời nói lịch sự.,https://source.unsplash.com/featured/400x400?polite
n5_verb_akeru,dongtu,開ける,mở,akeru,ドアを開ける。,Mở cửa.,https://source.unsplash.com/featured/400x400?open
n5_sta_aru,dongtu,ある,có (vật),aru,本がある。,Có quyển sách.,https://source.unsplash.com/featured/400x400?there+is
n5_v_arau,dongtu,洗う,rửa,arau,手を洗う。,Rửa tay.,https://source.unsplash.com/featured/400x400?wash
n5_v_aruku,dongtu,歩く,đi bộ,aruku,公園を歩く。,Đi bộ ở công viên.,https://source.unsplash.com/featured/400x400?walk
n5_verb_asobu,dongtu,遊ぶ,chơi,asobu,公園で遊ぶ。,Chơi ở công viên.,https://source.unsplash.com/featured/400x400?play
n5_verb_au,dongtu,会う,gặp,au,友達に会う。,Gặp bạn.,https://source.unsplash.com/featured/400x400?meet
n5_verb_benkyou,dongtu,勉強する,học tập,benkyou suru,日本語を勉強する。,Học tiếng Nhật.,https://source.unsplash.com/featured/400x400?study
n5_verb_dasu,dongtu,出す,lấy ra/nộp,dasu,宿題を出す。,Nộp bài tập.,https://source.unsplash.com/featured/400x400?submit
n5_sta_dekiru,dongtu,できる,có thể,dekiru,テニスができる。,Có thể chơi tennis.,https://source.unsplash.com/featured/400x400?can
n5_verb_deru,dongtu,出る,ra ngoài,deru,部屋を出る。,Ra khỏi phòng.,https://source.unsplash.com/featured/400x400?go+out
n5_v_erabu,dongtu,選ぶ,chọn,erabu,色を選ぶ。,Chọn màu sắc.,https://source.unsplash.com/featured/400x400?choose
n5_verb_hairu,dongtu,入る,vào,hairu,お風呂に入る。,Vào bồn tắm.,https://source.unsplash.com/featured/400x400?enter
n5_v_hajimeru,dongtu,始める,bắt đầu,hajimeru,勉強を始める。,Bắt đầu học.,https://source.unsplash.com/featured/400x400?start
n5_v_hakobu,dongtu,運ぶ,vận chuyển,hakobu,荷物を運ぶ。,Vận chuyển hành lý.,https://source.unsplash.com/featured/400x400?carry
n5_v_haku,dongtu,履く,mặc (quần/giày),haku,ズボンを履く。,Mặc quần.,https://source.unsplash.com/featured/400x400?wear
n5_v_hanasu,dongtu,話す,nói chuyện,hanasu,英語で話す。,Nói bằng tiếng Anh.,https://source.unsplash.com/featured/400x400?talk
n5_v_hashiru,dongtu,走る,chạy,hashiru,速く走る。,Chạy nhanh.,https://source.unsplash.com/featured/400x400?run
n5_v_hataraku,dongtu,働く,làm việc,hataraku,会社で働く。,Làm việc ở công ty.,https://source.unsplash.com/featured/400x400?work
n5_v_hiku,dongtu,弾く,chơi (nhạc cụ),hiku,ピアノを弾く。,Chơi piano.,https://source.unsplash.com/featured/400x400?play+instrument
n5_v_homeru,dongtu,褒める,khen,homeru,先生に褒められた。,Được giáo viên khen.,https://source.unsplash.com/featured/400x400?praise
n5_verb_iku,dongtu,行く,đi,iku,学校へ行く。,Đi đến trường.,https://source.unsplash.com/featured/400x400?go
n5_sta_iru,dongtu,いる,có (người/vật),iru,猫がいる。,Có con mèo.,https://source.unsplash.com/featured/400x400?there+is
n5_verb_isogu,dongtu,急ぐ,vội,isogu,急いで行く。,Đi vội.,https://source.unsplash.com/featured/400x400?hurry
n5_v_iu,dongtu,言う,nói,iu,名前を言う。,Nói tên.,https://source.unsplash.com/featured/400x400?say
n5_v_kaburu,dongtu,かぶる,đội (mũ),kaburu,帽子をかぶる。,Đội mũ.,https://source.unsplash.com/featured/400x400?wear+hat
n5_verb_kaku,dongtu,書く,viết,kaku,手紙を書く。,Viết thư.,https://source.unsplash.com/featured/400x400?write
n5_v_kangaeru,dongtu,考える,suy nghĩ,kangaeru,よく考える。,Suy nghĩ kỹ.,https://source.unsplash.com/featured/400x400?think
n5_v_kariru,dongtu,借りる,mượn,kariru,本を借りる。,Mượn sách.,https://source.unsplash.com/featured/400x400?borrow
n5_v_kasu,dongtu,貸す,cho mượn,kasu,ペンを貸す。,Cho mượn bút.,https://source.unsplash.com/featured/400x400?lend
n5_verb_kau,dongtu,買う,mua,kau,パンを買う。,Mua bánh mì.,https://source.unsplash.com/featured/400x400?buy
n5_v_kekkon,dongtu,結婚する,kết hôn,kekkon,結婚しています。,Đã kết hôn.,https://source.unsplash.com/featured/400x400?marry
n5_v_kesu,dongtu,消す,tắt/xóa,kesu,テレビを消す。,Tắt tivi.,https://source.unsplash.com/featured/400x400?turn+off
n5_verb_kiku,dongtu,聞く,nghe/hỏi,kiku,音楽を聞く。,Nghe nhạc.,https://source.unsplash.com/featured/400x400?listen+ask
n5_v_kotaeru,dongtu,答える,trả lời,kotaeru,質問に答える。,Trả lời câu hỏi.,https://source.unsplash.com/featured/400x400?answer
n5_verb_kuru,dongtu,来る,đến,kuru,友達が来る。,Bạn đến chơi.,https://source.unsplash.com/featured/400x400?come
n5_v_magaru,dongtu,曲がる,rẽ,magaru,右に曲がります。,Rẽ phải.,https://source.unsplash.com/featured/400x400?turn
n5_verb_matsu,dongtu,待つ,đợi,matsu,駅で待つ。,Đợi ở ga.,https://source.unsplash.com/featured/400x400?wait
n5_verb_miru,dongtu,見る,xem/nhìn,miru,映画を見る。,Xem phim.,https://source.unsplash.com/featured/400x400?watch
n5_v_miseru,dongtu,見せる,cho xem,miseru,写真を見せる。,Cho xem ảnh.,https://source.unsplash.com/featured/400x400?show
n5_v_motsu,dongtu,持つ,cầm/có,motsu,荷物を持つ。,Cầm hành lý.,https://source.unsplash.com/featured/400x400?hold
n5_v_nageru,dongtu,投げる,ném,nageru,ボールを投げる。,Ném bóng.,https://source.unsplash.com/featured/400x400?throw
n5_v_narau,dongtu,習う,học (từ người khác),narau,ピアノを習う。,Học piano.,https://source.unsplash.com/featured/400x400?learn
n5_v_naru,dongtu,なる,trở nên,naru,医者になりたい。,Muốn thành bác sĩ.,https://source.unsplash.com/featured/400x400?become
n5_verb_neru,dongtu,寝る,ngủ,neru,早く寝る。,Ngủ sớm.,https://source.unsplash.com/featured/400x400?sleep
n5_verb_nomu,dongtu,飲む,uống,nomu,水を飲む。,Uống nước.,https://source.unsplash.com/featured/400x400?drink
n5_v_noru,dongtu,乗る,lên xe,noru,バスに乗る。,Lên xe buýt.,https://source.unsplash.com/featured/400x400?ride
n5_v_nugu,dongtu,脱ぐ,cởi (đồ),nugu,靴を脱ぐ。,Tháo giày.,https://source.unsplash.com/featured/400x400?take+off
n5_verb_oboeru,dongtu,覚える,nhớ,oboeru,漢字を覚える。,Nhớ chữ Kanji.,https://source.unsplash.com/featured/400x400?remember
n5_verb_okiru,dongtu,起きる,thức dậy,okiru,六時に起きる。,Thức dậy lúc 6h.,https://source.unsplash.com/featured/400x400?wake+up
n5_v_okuru,dongtu,送る,gửi,okuru,手紙を送る。,Gửi thư.,https://source.unsplash.com/featured/400x400?send
n5_v_omou,dongtu,思う,nghĩ,omou,そう思う。,Cũng nghĩ vậy.,https://source.unsplash.com/featured/400x400?think
n5_v_oriru,dongtu,降りる,xuống xe,oriru,電車を降りる。,Xuống tàu điện.,https://source.unsplash.com/featured/400x400?get+off
n5_v_oshieru,dongtu,教える,dạy,oshieru,日本語を教える。,Dạy tiếng Nhật.,https://source.unsplash.com/featured/400x400?teach
n5_v_owaru,dongtu,終わる,kết thúc,owaru,仕事が終わる。,Công việc kết thúc.,https://source.unsplash.com/featured/400x400?end
n5_v_oyogu,dongtu,泳ぐ,bơi,oyogu,海で泳ぐ。,Bơi ở biển.,https://source.unsplash.com/featured/400x400?swim
n5_v_renshu,dongtu,練習する,luyện tập,renshuu,毎日練習する。,Luyện tập mỗi ngày.,https://source.unsplash.com/featured/400x400?practice
n5_v_shimeru,dongtu,閉める,đóng,shimeru,窓を閉める。,Đóng cửa sổ.,https://source.unsplash.com/featured/400x400?close
n5_v_shinu,dongtu,死ぬ,chết,shinu,花が死ぬ。,Hoa héo chết.,https://source.unsplash.com/featured/400x400?die
n5_v_shiraberu,dongtu,調べる,tra cứu,shiraberu,辞書で調べる。,Tra từ điển.,https://source.unsplash.com/featured/400x400?search
n5_v_shiru,dongtu,知る,biết,shiru,答えを知っている。,Biết câu trả lời.,https://source.unsplash.com/featured/400x400?know
n5_v_sumu,dongtu,住む,sống,sumu,ベトナムに住む。,Sống ở Việt Nam.,https://source.unsplash.com/featured/400x400?live
n5_verb_suru,dongtu,する,làm,suru,勉強する。,Học bài.,https://source.unsplash.com/featured/400x400?do
n5_v_suwaru,dongtu,座る,ngồi,suwaru,椅子に座る。,Ngồi xuống ghế.,https://source.unsplash.com/featured/400x400?sit
n5_verb_taberu,dongtu,食べる,ăn,taberu,りんごを食べる。,Ăn táo.,https://source.unsplash.com/featured/400x400?eat
n5_v_tatsu,dongtu,立つ,đứng,tatsu,そこに立つ。,Đứng ở đó.,https://source.unsplash.com/featured/400x400?stand
n5_v_tetsudau,dongtu,手伝う,giúp đỡ,tetsudau,仕事を手伝う。,Giúp một tay.,https://source.unsplash.com/featured/400x400?help
n5_v_tomaru,dongtu,止まる,dừng lại,tomaru,車が止まる。,Xe dừng lại.,https://source.unsplash.com/featured/400x400?stop
n5_verb_toru,dongtu,撮る,chụp (ảnh),toru,写真を撮る。,Chụp ảnh.,https://source.unsplash.com/featured/400x400?take+photo
n5_v_tsukau,dongtu,使う,dùng,tsukau,ペンを使う。,Dùng bút.,https://source.unsplash.com/featured/400x400?use
n5_v_tsukeru,dongtu,つける,bật,tsukeru,電気をつける。,Bật điện.,https://source.unsplash.com/featured/400x400?turn+on
n5_v_tsuku,dongtu,着く,đến nơi,tsuku,駅に着く。,Đến ga.,https://source.unsplash.com/featured/400x400?arrive
n5_v_tsukuru,dongtu,作る,làm/nấu,tsukuru,ケーキを作る。,Làm bánh kem.,https://source.unsplash.com/featured/400x400?cook
n5_v_tsutaeru,dongtu,伝える,truyền đạt,tsutaeru,ニュースを伝える。,Truyền đạt tin tức.,https://source.unsplash.com/featured/400x400?convey
n5_v_tsutomeru,dongtu,勤める,làm việc cho,tsutomeru,銀行に勤める。,Làm việc cho ngân hàng.,https://source.unsplash.com/featured/400x400?work+for
n5_v_utau,dongtu,歌う,hát,utau,歌を歌う。,Hát.,https://source.unsplash.com/featured/400x400?sing
n5_v_wakaru,dongtu,分かる,hiểu,wakaru,意味がわかる。,Hiểu ý nghĩa.,https://source.unsplash.com/featured/400x400?understand
n5_v_wasureru,dongtu,忘れる,quên,wasureru,宿題を忘れた。,Quên bài tập.,https://source.unsplash.com/featured/400x400?forget
n5_v_wataru,dongtu,渡る,băng qua,wataru,道を渡る。,Băng qua đường.,https://source.unsplash.com/featured/400x400?cross
n5_v_watasu,dongtu,渡す,trao/đưa,watasu,手紙を渡す。,Đưa thư.,https://source.unsplash.com/featured/400x400?hand+over
n5_v_yasumu,dongtu,休む,nghỉ,yasumu,少し休む。,Nghỉ một chút.,https://source.unsplash.com/featured/400x400?rest
n5_v_yobu,dongtu,呼ぶ,gọi,yobu,タクシーを呼ぶ。,Gọi taxi.,https://source.unsplash.com/featured/400x400?call
n5_v_yomu,dongtu,読む,đọc,yomu,本を読む。,Đọc sách.,https://source.unsplash.com/featured/400x400?read
n5_v_ageru,dongtu,上げる,nâng/tặng,ageru,手を上げる。,Giơ tay lên.,https://source.unsplash.com/featured/400x400?raise+give
n5_v_abiru,dongtu,浴びる,tắm vòi sen,abiru,シャワーを浴びる。,Tắm vòi sen.,https://source.unsplash.com/featured/400x400?shower
n5_v_shikaru,dongtu,叱る,mắng,shikaru,先生に叱られた。,Bị giáo viên mắng.,https://source.unsplash.com/featured/400x400?scold
n5_v_shimau,dongtu,しまう,cất đi,shimau,道具をしまう。,Cất dụng cụ.,https://source.unsplash.com/featured/400x400?put+away
n5_ppl_ane,giadinh,姉,chị gái (mình),ane,姉が一人います。,Có một chị gái.,https://source.unsplash.com/featured/400x400?older+sister+my
n5_ppl_ani,giadinh,兄,anh trai (mình),ani,兄は大学生です。,Anh trai là sinh viên.,https://source.unsplash.com/featured/400x400?older+brother+my
n5_ppl_chichi,giadinh,父,bố (mình),chichi,父は医者です。,Bố là bác sĩ.,https://source.unsplash.com/featured/400x400?father+my
n5_ppl_imouto,giadinh,妹,em gái,imouto,妹はかわいいです。,Em gái dễ thương.,https://source.unsplash.com/featured/400x400?younger+sister
n5_ppl_kazoku,giadinh,家族,gia đình,kazoku,家族は四人です。,Gia đình 4 người.,https://source.unsplash.com/featured/400x400?family
n5_ppl_kodomo,giadinh,子供,trẻ con,kodomo,子供が遊んでいる。,Trẻ đang chơi.,https://source.unsplash.com/featured/400x400?child
n5_ppl_otouto,giadinh,弟,em trai,otouto,弟は中学生です。,Em trai học cấp 2.,https://source.unsplash.com/featured/400x400?younger+brother
n5_ppl_otousan,giadinh,お父さん,bố (người khác),otousan,お父さんはお元気ですか。,Bố bạn có khỏe không?,https://source.unsplash.com/featured/400x400?father+other
n5_ppl_okaasan,giadinh,お母さん,mẹ (người khác),okaasan,お母さんは優しいです。,Mẹ bạn rất hiền.,https://source.unsplash.com/featured/400x400?mother+other
n5_ppl_oneesan,giadinh,お姉さん,chị gái (người khác),oneesan,お姉さんはきれいです。,Chị bạn xinh quá.,https://source.unsplash.com/featured/400x400?older+sister+other
n5_ppl_oniisan,giadinh,お兄さん,anh trai (người khác),oniisan,お兄さんはスポーツが得意です。,Anh bạn giỏi thể thao.,https://source.unsplash.com/featured/400x400?older+brother+other
n5_ppl_sofu,giadinh,祖父,ông (mình),sofu,私の祖父は元気です。,Ông tôi khỏe.,https://source.unsplash.com/featured/400x400?grandfather+my
n5_ppl_sobo,giadinh,祖母,bà (mình),sobo,祖母は料理が上手です。,Bà tôi nấu ăn ngon.,https://source.unsplash.com/featured/400x400?grandmother+my
n5_ppl_ojiisan,giadinh,お爺さん,ông (người khác),ojiisan,お爺さんは静かに読書をしている。,Ông ấy đang đọc sách.,https://source.unsplash.com/featured/400x400?grandfather+other
n5_ppl_obaasan,giadinh,お婆さん,bà (người khác),obaasan,お婆さんは優しく微笑んだ。,Bà ấy mỉm cười hiền.,https://source.unsplash.com/featured/400x400?grandmother+other
n5_ppl_kyoudai,giadinh,兄弟,anh chị em ruột,kyoudai,兄弟がいますか。,Có anh chị em ruột không?,https://source.unsplash.com/featured/400x400?siblings
n5_ppl_shimai,giadinh,姉妹,chị em gái,shimai,私たちは仲の良い姉妹です。,Chúng tôi là chị em thân.,https://source.unsplash.com/featured/400x400?sisters
n5_ppl_hito,connguoi,人,người,hito,あの人はだれですか。,Người kia là ai?,https://source.unsplash.com/featured/400x400?person
n5_ppl_onna,connguoi,女,nữ giới,onna,女の人。,Người phụ nữ.,https://source.unsplash.com/featured/400x400?woman
n5_ppl_otoko,connguoi,男,nam giới,otoko,男の人。,Người đàn ông.,https://source.unsplash.com/featured/400x400?man
n5_ppl_tomodachi,connguoi,友達,bạn bè,tomodachi,友達と映画に行く。,Đi xem phim với bạn.,https://source.unsplash.com/featured/400x400?friends
n5_ppl_kyaku,connguoi,客,khách hàng,kyaku,客が来た。,Khách đến.,https://source.unsplash.com/featured/400x400?customer
n5_ppl_kaisatsu,connguoi,改札,cổng soát vé,kaisatsu,改札を通る。,Qua cổng soát vé.,https://source.unsplash.com/featured/400x400?ticket+gate
n5_ppl_kaisha,congty,会社,công ty,kaisha,会社で働く。,Làm việc ở công ty.,https://source.unsplash.com/featured/400x400?company
n5_bld_apa-to,kientruc,アパート,căn hộ,apāto,アパートに住む。,Sống ở căn hộ.,https://source.unsplash.com/featured/400x400?apartment
n5_bld_biru,kientruc,ビル,tòa nhà,biru,高いビル。,Tòa nhà cao.,https://source.unsplash.com/featured/400x400?building
n5_bld_genkan,kientruc,玄関,lối vào,genkan,玄関で靴を脱ぐ。,Tháo giày ở cửa.,https://source.unsplash.com/featured/400x400?entrance
n5_bld_kaidan,kientruc,階段,cầu thang,kaidan,階段を上る。,Leo cầu thang.,https://source.unsplash.com/featured/400x400?stairs
n5_bld_niwa,kientruc,庭,sân vườn,niwa,庭に花が咲く。,Hoa nở trong vườn.,https://source.unsplash.com/featured/400x400?garden
n5_bld_rouka,kientruc,廊下,hành lang,rouka,廊下を歩く。,Đi bộ hành lang.,https://source.unsplash.com/featured/400x400?hallway
n5_house_beddo,dovan,ベッド,giường,beddo,ベッドで寝る。,Ngủ trên giường.,https://source.unsplash.com/featured/400x400?bed
n5_house_denwa,dovan,電話,điện thoại,denwa,電話をかける。,Gọi điện.,https://source.unsplash.com/featured/400x400?phone
n5_house_doa,nhacua,ドア,cửa ra vào,doa,ドアを開ける。,Mở cửa.,https://source.unsplash.com/featured/400x400?door
n5_house_heya,nhacua,部屋,phòng,heya,明るい部屋。,Phòng sáng.,https://source.unsplash.com/featured/400x400?room
n5_house_ie,nhacua,家,nhà,ie,家に帰る。,Về nhà.,https://source.unsplash.com/featured/400x400?house
n5_house_kappu,dovan,カップ,cốc,kappu,カップを洗う。,Rửa cốc.,https://source.unsplash.com/featured/400x400?cup
n5_house_pasokon,dovan,パソコン,máy tính,pasokon,パソコンを使う。,Dùng máy tính.,https://source.unsplash.com/featured/400x400?computer
n5_house_reizouko,dovan,冷蔵庫,tủ lạnh,reizouko,冷蔵庫に牛乳がある。,Tủ lạnh có sữa.,https://source.unsplash.com/featured/400x400?refrigerator
n5_house_sentakuki,dovan,洗濯機,máy giặt,sentakuki,洗濯機を回す。,Chạy máy giặt.,https://source.unsplash.com/featured/400x400?washing+machine
n5_house_tebi,dovan,テレビ,tivi,terebi,テレビを見る。,Xem tivi.,https://source.unsplash.com/featured/400x400?tv
n5_house_teburu,dovan,テーブル,bàn,teburu,テーブルの上。,Trên bàn.,https://source.unsplash.com/featured/400x400?table
n5_hou_daidokoro,nhacua,台所,nhà bếp,daidokoro,台所で料理する。,Nấu ăn ở bếp.,https://source.unsplash.com/featured/400x400?kitchen
n5_hou_mado,nhacua,窓,cửa sổ,mado,窓を開ける。,Mở cửa sổ.,https://source.unsplash.com/featured/400x400?window
n5_hou_niwa,nhacua,庭,vườn,niwa,庭を掃除する。,Dọn vườn.,https://source.unsplash.com/featured/400x400?garden
n5_hou_rouka,nhacua,廊下,hành lang,rouka,廊下を走らない。,Không chạy hành lang.,https://source.unsplash.com/featured/400x400?hallway
n5_hou_shindotsu,nhacua,寝室,phòng ngủ,shinshitsu,寝室で寝る。,Ngủ phòng ngủ.,https://source.unsplash.com/featured/400x400?bedroom
n5_kit_chawan,dodung,茶碗,bát,chawan,ご飯茶碗。,Bát cơm.,https://source.unsplash.com/featured/400x400?bowl
n5_kit_fo-ku,dodung,フォーク,nĩa,fōku,フォークを使う。,Dùng nĩa.,https://source.unsplash.com/featured/400x400?fork
n5_kit_furaipan,dodung,フライパン,chảo,furaipan,フライパンで焼く。,Rán bằng chảo.,https://source.unsplash.com/featured/400x400?frying+pan
n5_kit_hashi,dodung,箸,đũa,hashi,箸で食べる。,Ăn bằng đũa.,https://source.unsplash.com/featured/400x400?chopsticks
n5_kit_koppu,dodung,コップ,cốc/ly,koppu,コップに水を入れる。,Cho nước vào cốc.,https://source.unsplash.com/featured/400x400?glass
n5_kit_nabe,dodung,鍋,nồi,nabe,鍋料理。,Món lẩu.,https://source.unsplash.com/featured/400x400?pot
